순위,아티스트,곡명,앨범
1,처음처럼,엠씨더맥스 (M.C the MAX),CEREMONIA
2,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
3,그때 그 아인,김필,이태원 클라쓰 OST Part.6
4,아무노래,지코 (ZICO),아무노래
5,돌덩이,하현우 (국카스텐),이태원 클라쓰 OST Part.3
6,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
7,ON,방탄소년단,MAP OF THE SOUL : 7
8,마음을 드려요,아이유,사랑의 불시착 OST Part 11
9,METEOR,창모 (CHANGMO),Boyhood
10,WANNABE,ITZY (있지),IT'z ME
11,"사랑, 하자",수호 (SUHO),자화상 - The 1st Mini Album
12,Blueming,아이유,Love poem
13,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
14,반만,진민호,반만
15,Psycho,Red Velvet (레드벨벳),‘The ReVe Festival’ Finale
16,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
17,FIESTA,IZ*ONE (아이즈원),BLOOM*IZ
18,뜸,WINNER,뜸
19,00:00 (Zero O’Clock),방탄소년단,MAP OF THE SOUL : 7
20,아로하,조정석,슬기로운 의사생활 OST Part 3
21,"다시 난, 여기",백예린,사랑의 불시착 OST Part 4
22,Black Swan,방탄소년단,MAP OF THE SOUL : 7
23,어떻게 지내,오반,어떻게 지내
24,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
25,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
26,HIP,마마무 (Mamamoo),reality in BLACK
27,2002,Anne-Marie,Speak Your Mind (Deluxe)
28,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
29,친구,방탄소년단,MAP OF THE SOUL : 7
30,너를 사랑하고 있어,백현 (BAEKHYUN),낭만닥터 김사부 2 OST Part.1
31,둘만의 세상으로 가,Crush,사랑의 불시착 OST Part 10
32,안녕,폴킴,호텔 델루나 OST Part.10
33,Love poem,아이유,Love poem
34,문득,노을,문득
35,좋은 사람 있으면 소개시켜줘,조이 (JOY),슬기로운 의사생활 OST Part 2
36,Sweet Night,V,이태원 클라쓰 OST Part.12
37,Square (2017),백예린,Every letter I sent you.
38,사랑이란 멜로는 없어,전상근,사랑이란 멜로는 없어
39,벚꽃 엔딩,버스커 버스커,버스커 버스커 1집
40,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3
41,조금 취했어 (Prod. 2soo),임재현,조금 취했어
42,Filter,방탄소년단,MAP OF THE SOUL : 7
43,시든 꽃에 물을 주듯,HYNN (박혜원),시든 꽃에 물을 주듯
44,To Die For,Sam Smith,To Die For
45,Maniac,Conan Gray,Maniac
46,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
47,마음이 말하는 행복 (Happiness) (Feat.이라온),마크툽 (MAKTUB),Red Moon : Happiness
48,"아마두 (feat.우원재, 김효은, 넉살, Huckleberry P)",염따,Dingo X DAMOIM (Part 2)
49,어떤 날엔,김재환,사랑의 불시착 OST Part 5
50,Birthday,Anne-Marie,Birthday
51,다시 만날까 봐,V.O.S,다시 만날까 봐
52,시차,방탄소년단,MAP OF THE SOUL : 7
53,Moon,방탄소년단,MAP OF THE SOUL : 7
54,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
55,주저하는 연인들을 위해,잔나비,전설
56,빌었어,창모 (CHANGMO),Boyhood
57,"안녕, 오늘의 그대에게",임한별,"안녕, 오늘의 그대에게"
58,포장마차,황인욱,포장마차
59,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz),사랑이 식었다고 말해도 돼
60,Inner Child,방탄소년단,MAP OF THE SOUL : 7
61,사랑에 연습이 있었다면 (Prod. 2soo),임재현,사랑에 연습이 있었다면
62,봄날,방탄소년단,YOU NEVER WALK ALONE
63,Painkiller,Ruel,Painkiller
64,나의 오랜 연인에게,다비치,나의 오랜 연인에게
65,We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7
66,버릇처럼 셋을 센다,KCM,버릇처럼 셋을 센다
67,사랑의 인사,씨야,See You Again
68,너를 만나,폴킴,너를 만나
69,Dance Monkey,Tones And I,The Kids Are Coming
70,Louder than bombs,방탄소년단,MAP OF THE SOUL : 7
71,미친 소리,이예준,미친 소리
72,욱 (UGH!),방탄소년단,MAP OF THE SOUL : 7
73,Interlude : Shadow,방탄소년단,MAP OF THE SOUL : 7
74,"다시는 사랑하지 않고, 이별에 아파하기 싫어",백지영,"다시는 사랑하지 않고, 이별에 아파하기 싫어"
75,봄 사랑 벚꽃 말고,HIGH4 (하이포),봄 사랑 벚꽃 말고
